asset_name,asset_value,volatility,exposure_pct,leverage_ratio,liquidity_score,market_sentiment,counterparty_score,drawdown_pct,amount_at_risk
Alpha Tech Fund,125000,0.34,58,1.40,52,Bearish,63,18,28600
Beta Energy Bond,98000,0.16,42,1.10,81,Neutral,78,7,9800
Gamma Retail Equity,143000,0.29,65,1.30,57,Bearish,61,15,30100
Delta Pharma Stock,87000,0.22,38,1.00,74,Bullish,82,9,9400
Epsilon Infra Note,156000,0.18,46,1.15,79,Neutral,80,8,14200
Zeta Metals ETF,112000,0.31,54,1.35,48,Bearish,60,17,24800
Eta Telecom Asset,76000,0.20,33,1.05,72,Neutral,75,8,7600
Theta Fintech Equity,134000,0.37,67,1.50,44,Bearish,55,21,35200
Iota Logistics Bond,91000,0.14,29,0.95,85,Bullish,88,5,6200
Kappa Housing REIT,118000,0.24,49,1.18,69,Neutral,73,11,15800
Lambda Cloud Stock,162000,0.39,71,1.55,42,Bearish,54,24,42900
Mu Consumer ETF,105000,0.21,40,1.08,70,Bullish,77,10,11300
Nu Mining Asset,149000,0.35,63,1.48,46,Bearish,58,19,33300
Xi Auto Equity,96000,0.27,51,1.22,61,Neutral,68,12,17100
Omicron Utilities Bond,121000,0.12,26,0.92,88,Bullish,90,4,5900
Pi Biotech Stock,138000,0.33,59,1.36,50,Bearish,62,18,28900
Rho Shipping Fund,84000,0.25,47,1.20,64,Neutral,71,13,13400
Sigma Media Equity,93000,0.30,55,1.28,58,Bearish,64,16,20600
Tau Food Bond,101000,0.15,31,1.00,84,Bullish,86,6,7100
Upsilon Green ETF,127000,0.23,44,1.12,76,Neutral,79,9,12900
Phi Semiconductor,174000,0.41,74,1.62,39,Bearish,52,26,48300
Chi Water Asset,88000,0.17,35,1.06,80,Bullish,83,7,7900
Psi Aviation Equity,141000,0.32,61,1.42,49,Bearish,59,20,31500
Omega Stable Bond,109000,0.11,22,0.90,91,Bullish,92,3,4700
Nova Internet Fund,152000,0.36,68,1.47,45,Bearish,56,22,37100
Apex Commodity ETF,116000,0.28,53,1.25,60,Neutral,69,14,19800
Vertex Bank Stock,132000,0.26,50,1.19,67,Neutral,72,12,17600
Helix Health Note,94000,0.19,37,1.04,77,Bullish,81,8,8400
Orbit Travel Equity,123000,0.34,60,1.38,47,Bearish,57,19,27400
Pulse Digital Asset,166000,0.42,76,1.66,36,Bearish,50,27,50200
Core Industrial Bond,97000,0.13,28,0.94,87,Bullish,89,4,5600
Prime Consumer Stock,119000,0.24,45,1.14,73,Neutral,76,10,14100
Summit Energy Fund,146000,0.31,62,1.41,51,Bearish,60,18,29800
Crest Real Estate,107000,0.22,43,1.10,71,Neutral,74,11,12300
Beacon AI Equity,171000,0.40,73,1.58,41,Bearish,53,25,46100
Harbor Marine Note,89000,0.18,34,1.03,82,Bullish,84,6,7300
Pioneer Agri ETF,114000,0.23,41,1.11,75,Neutral,78,9,11700
Fusion Cyber Stock,158000,0.38,69,1.53,43,Bearish,55,23,40100
Atlas Mobility Bond,99000,0.16,30,0.98,86,Bullish,87,5,6600
Radiant Retail Fund,128000,0.27,52,1.24,62,Neutral,70,13,18700
